code_parent,code_parent_desc,count(*)
ESP1404,R du 8 Mai 1945 voie bus butte,60
ESP1405,R Maurice Dodero n 12 à 16,67
ESP1406,Impasse des érables Est,8
ESP1407,All Romantiques Vigny Sylphide,13
ESP1408,Av Constantine Bourse Travail,23
ESP1409,Crêche du 120 Arlequin,30
ESP141,Caser Bonne Vallons Frenay,15
ESP1410,Espace Chantal Mauduit,76
ESP1411,Ec mat Primevères R Gervasotti,11
ESP1412,Av Europe ang Aliende H Piazza,13
ESP1413,Pl Lionel Terray,9
ESP1414,Pl des Géants 40,13
ESP1415,Crêche des Poucets,2
ESP1416,R C Kogan IMT contre bâtiment,15
ESP1417,Av Constantine Trident à Pins,13
ESP1418,Av Reynoard 3 Quartiers Musset,47
ESP1419,R Tr Quartiers Dodero Reynoard,6
ESP142,Qu jongkind Tarillon Lachman,17
ESP1420,R FG Lorca park contre imeuble,3
ESP1421,Pl  L Jouvet mail jx de boule,24
ESP1422,Prc Ouagadougou partie Ouest,55
ESP1423,Park gymnase Malherbe,16
ESP1424,R G Philippe n 12 à 28,10
ESP1425,Ec P Cocat R Manteyer,5
ESP1426,R D Fontanelle n 02 à 06,3
ESP1427,R M Bourette,5
ESP143,Ave Rh Danube dev GS Mistral,13
ESP144,Crs Libération Rondeau Ec Libé,50
ESP145,Prc Mis Jard alpin abd cascade,25
ESP146,Cité Moyrand R Dupleix,21
ESP147,Prc Echangeurs amphi Sud,87
ESP148,R G Tonnelier Cocat Fernandat,31
ESP149,Cité Chatelet Rivail chicane,7
ESP15,Pl du Temple ,2
ESP150,Impasse Clément Ader Voirie,20
ESP152,R Flandrin échangs à Galieni,9
ESP153,Pc Savane terrains pétanque ,13
ESP154,R Dt Crolles James Echaillon,6
ESP155,R Déportés Bourget  Stalingrad,23
ESP156,Ch Gordes Est conservatoire,16
ESP157,Al de la pelouse cote antenne,30
ESP158,Gymnase de la piste,5
ESP159,Montée des Bureaux,24
ESP16,Jard des Dauphins entrée,9
ESP160,R M Dodero SOGEA,22
ESP161,R A Vigny M Oisans Stalingrad,21
ESP162,Av Constantine ms architecture,20
ESP163,Gal Arlequin park crêche 120,7
ESP164,R Manteyer n 13 derrière,1
ESP165,Re G Eiffel/ P Payerne,68
ESP166,R Auguste Genin,3
ESP167,Sq Belmont ang R St Nicolas,9
ESP168,R de Bonne ang R Guétal,1
ESP169,Sq tertre Qu des Allobroges,22
ESP17,Chem de Halage park des vignes,4
ESP170,Jard Hoche accés R de Narvick,10
ESP171,R St Ferjus Pont des Sablons,3
ESP172,Ave Rh Danube Strauss Reynier,6
ESP173,R A France park Vaucanson,22
ESP174,Prc Mis pelouse du foot,90
ESP175,Av J O Poterne rond point,6
ESP176,Av La Bruyère Fenelon  Florian,22
ESP177,Av J O Poterne Washington,29
ESP178,Sq Drevet ang Salengro Libé,77
ESP179,R de la Station Ponsard,13
ESP18,Sq Mutualité ang Chanrion,35
ESP180,Cargo Nord Est dans le gazon,17
ESP181,R Rivoire Bouchayer Couvent,5
ESP182,Passag B Montferrat Schweitzer,30
ESP183,Ec mat 47 R Sidi Brahim,12
ESP184,Av Europe Doderot a Reynoard,27
ESP185,Prc La Bruyère accés NORD,3
ESP186,Av Constantine derr n 12 parc ,7
ESP187,Gal Arlequin M J C,31
ESP188,Pl du marché n 150 Arlequin,10
ESP189,R H Barbusse Est Pôle sud,10
ESP19,Crs Libération Vallier Salengro,37
ESP190,R des Trembles,16
ESP191,Impasse des érables Ouest,6
ESP192,R P Claudel Tour n 03 à 07,41
ESP193,R Sémard dev éc commerce,18
ESP194,Terminus Tram Esclangon,19
ESP195,R Ampère ang Lindbergh,10
ESP196,Jaurés impair Vallier Berriat,43
ESP197,Rte de Lyon n 80 Octroi,1
ESP198,Piscine J Bron,15
ESP199,R Narvick entrée parc Hoche,1
ESP20,Al Léopold Sédar Senghore,18
ESP200,Pl Raymond Perinetti,4
ESP201,Crs Libération Ec Lib Verlaine,26
ESP202,R Arts de montagne n 01,3
ESP203,Prc Mis abord gare petit train,9
ESP204,Av J O Washington Jouhaux sép,44
ESP205,Cité Moyrand R Elie Cartan,13
ESP206,Sq H Mauchant face 16 Voirie,18
ESP207,Prc Pompidou crêche ds Castors,7
ESP208,R R Salengro derrière biblio,13
ESP209,Bd Joffre Rivet à Pasteur,16
ESP21,Ec prim libération n 203 derr,4
ESP210,Sq des Charmilles,15
ESP211,Ecole mat Bajatière 61av J Perrot,9
ESP212,Bd Foch Cdt de Reynies Mangin,9
ESP213,Aire de jeux butte 04,11
ESP214,FPA vers éc du lac,22
ESP215,Ave La Bruyère pair,22
ESP216,Av M Reynoard LBruyère  Alliés,18
ESP217,Terrain de proximité Prémol,23
ESP218,Ec Verderet R Gervasotti,8
ESP219,Av Europe EDF,22
ESP22,Prc Mis pelouses de la famille,15
ESP220,Ave d'Insbruck,24
ESP221,Pl M Novarina,11
ESP222,R Pupin Esmonin au tunnel bâti,12
ESP223,Allée des Frênes,7
ESP224,Arrèt tram La Bruyère Est,48
ESP225,Quatre Tours Malherbe,31
ESP226,R P Billat ang DL Weil,6
ESP227,Ave de Suède,5
ESP228,Pt de Catane Nord Vallier,3
ESP229,Pl Verdun Tram Beyle Stendhal ,6
ESP23,Av J d'Arc C Genin à Argouges,15
ESP230,Pl Xavier Jouvin,4
ESP231,R Marceau,14
ESP232,Jard Hoche combat afrique nord,11
ESP233,Pl Bir Hakeim commerces,19
ESP234,R Menon Oddos ,42
ESP235,Ech Mistral séparateur central,32
ESP236,Bd J Pain Forum sép central,6
ESP237,Av La Bruyère Helbronner au Sq,38
ESP238,Av Littré Fenelon à La Bruyère,5
ESP239,R Valles ang Chem Barral,1
ESP24,R J Lemaitre,14
ESP240,Ecole mat Daudet 16 R Lesage,4
ESP241,R Stalingrad ang E Zola,10
ESP242,R J Bart ang du 140 RIA,1
ESP243,R R L Lachat dev éc Clémenceau,9
ESP244,R R Lesage devant Ec Daudet,13
ESP245,Ecole prim libération n 203,17
ESP247,R Esmonin sép face IMT,47
ESP248,All Deux Mondes aire de jeux,45
ESP249,Ecole des Trembles,32
ESP25,FPA des Alpins R Stalingrad,16
ESP250,R Musset Reynoard  Deux Mondes,6
ESP251,Av J O Perrot à D Fontanelle,19
ESP252,R E Romanet face au n 02 à 18 ,62
ESP253,R C Kogan n 35 Andrieux,15
ESP254,Garage central Malherbe Nord,5
ESP255,Pc Ouagadougou pelouse Est,9
ESP256,R FG Lorca n 12 à 18,29
ESP257,Av Berthelot  crêche Malherbe,11
ESP258,R G Lafourcade aire de jeux,17
ESP259,Av P Cocat n 21et 21bis,3
ESP26,Prc Mis Palais des sports,42
ESP260,Ecole prim J Racine R Cl le Camus,11
ESP261,Foyer 1900 Cour R Ninon Vallin,7
ESP262,A DL Weill Billat à Colombe,13
ESP263,R Tarze Berthier à D Savoyat,2
ESP264,R Sémard pharmacie Berriat,1
ESP265,Qu de la Graille,43
ESP266,R Scierie ang Qu Graille,13
ESP267,R des Arts pas Colbert Voirie,9
ESP268,R Vercors Morel à Alambert,20
ESP269,R Ernest Hareux,11
ESP27,R Guy de Maupassant ang Vigny,7
ESP270,Cité F Gauthier Vercors,15
ESP271,R Esclangon Vercors Diderot,7
ESP272,R des Martyrs AVIPAR,6
ESP273,Parc Paul Valérien Perrin,87
ESP274,R N Chorier Jards partagés,7
ESP275,Ecole Buffon n 01 R Cuvier,6
ESP276,Crêche 1000 pattes 43 Alembert,3
ESP277,Cimetière du Grand Sablon park,12
ESP278,Cimetière du Grand Sablon,219
ESP279,R Lafayette,5
ESP28,R Alliés dev POINT P,5
ESP280,R St Jacques,6
ESP281,Dalle Philippeville,3
ESP282,Ilot Ste Claire n 9,3
ESP283,Esplan boulod et park relais ,109
ESP284,Bd Joffre impair Past Mistral,6
ESP285,Pl de Metz,6
ESP286,Jard des Dauphins le mûrier,5
ESP287,Ec Pte France mais jeux 48,2
ESP288,Radio italienne Pl X Jouvin,2
